City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Windspeed,Date
atuona,pf,-9.8,-139.03,78.33,1.0,76.0,17.52,1600225372.0
grindavik,is,63.84,-22.43,46.4,90.0,87.0,14.99,1600225382.0
mar del plata,ar,-38.0,-57.56,51.01,13.0,70.0,3.36,1600225224.0
flin flon,ca,54.77,-101.86,37.83,60.0,76.0,16.46,1600225383.0
vilhena,br,-12.74,-60.15,74.14,0.0,29.0,2.48,1600225383.0
rikitea,pf,-23.12,-134.97,74.07,0.0,71.0,0.4,1600225383.0
punta arenas,cl,-53.15,-70.92,32.0,0.0,85.0,8.05,1600225383.0
bridlington,gb,54.08,-0.19,61.0,92.0,100.0,2.24,1600225383.0
kaitangata,nz,-46.28,169.85,52.0,90.0,69.0,17.0,1600225383.0
tiarei,pf,-17.53,-149.33,82.4,40.0,69.0,11.41,1600225384.0
provideniya,ru,64.38,-173.3,50.0,90.0,81.0,6.71,1600225384.0
palmer,us,42.16,-72.33,51.01,90.0,87.0,4.54,1600225384.0
albany,au,42.6,-73.97,48.99,8.0,69.0,2.59,1600225203.0
laguna,br,38.42,-121.42,82.4,1.0,32.0,3.36,1600225384.0
meadow lake,ca,34.8,-106.54,73.4,40.0,25.0,9.17,1600225384.0
thompson,ca,55.74,-97.86,37.4,75.0,86.0,13.87,1600225385.0
mataura,pf,-46.19,168.86,48.99,100.0,90.0,21.0,1600225385.0
fortuna,us,40.6,-124.16,70.0,1.0,88.0,5.82,1600225385.0
portland,au,45.52,-122.68,70.0,90.0,64.0,3.2,1600225320.0
bluff,nz,-46.6,168.33,48.99,99.0,90.0,21.0,1600225385.0
vaini,to,-21.2,-175.2,75.2,40.0,78.0,11.41,1600225385.0
mareeba,au,-17.0,145.43,82.0,25.0,57.0,5.01,1600225385.0
butaritari,ki,3.07,172.79,83.84,47.0,73.0,16.98,1600225386.0
carnarvon,au,-24.87,113.63,71.6,0.0,68.0,24.16,1600225386.0
yellowknife,ca,62.46,-114.35,33.8,20.0,50.0,4.7,1600225201.0
esperance,au,-33.87,121.9,57.2,90.0,93.0,16.11,1600225386.0
faanui,pf,-16.48,-151.75,77.94,0.0,79.0,15.57,1600225386.0
qaanaaq,gl,77.48,-69.36,19.26,0.0,77.0,7.25,1600225386.0
zuwarah,ly,32.93,12.08,78.94,0.0,69.0,13.06,1600225232.0
port alfred,za,-33.59,26.89,56.95,41.0,87.0,5.55,1600225387.0
raga,sd,8.46,25.68,68.18,100.0,94.0,4.03,1600225387.0
saint george,bm,37.1,-113.58,91.4,1.0,9.0,10.29,1600225327.0
kapaa,us,22.08,-159.32,84.2,20.0,62.0,10.29,1600225232.0
port elizabeth,za,-33.92,25.57,55.4,75.0,93.0,3.36,1600225387.0
ulagan,ru,50.63,87.96,55.58,100.0,39.0,1.61,1600225387.0
bambous virieux,mu,-20.34,57.76,69.01,75.0,60.0,9.17,1600225388.0
new norfolk,au,-42.78,147.06,64.4,90.0,36.0,21.92,1600225388.0
bozoum,cf,6.32,16.38,68.59,92.0,95.0,1.21,1600225388.0
busselton,au,-33.65,115.33,57.99,45.0,71.0,11.99,1600225388.0
kodiak,us,57.79,-152.41,56.23,49.0,90.0,5.19,1600225388.0
spilamberto,it,44.53,11.02,72.0,0.0,58.0,1.99,1600225389.0
jacobabad,pk,28.28,68.44,90.07,87.0,50.0,3.09,1600225206.0
dikson,ru,73.51,80.55,42.35,100.0,94.0,16.22,1600225389.0
olinda,br,-8.01,-34.86,77.0,40.0,83.0,12.75,1600225389.0
santa maria,cv,-29.68,-53.81,53.6,90.0,100.0,3.36,1600225361.0
masuda,jp,34.67,131.85,78.8,75.0,69.0,9.17,1600225409.0
lavrentiya,ru,65.58,-171.0,45.82,96.0,86.0,13.62,1600225410.0
mayumba,ga,-3.43,10.66,73.94,80.0,88.0,6.55,1600225410.0
matara,lk,5.95,80.54,81.18,56.0,83.0,12.1,1600225410.0
torbay,ca,47.67,-52.73,51.01,75.0,61.0,9.17,1600225399.0
junin,ar,-34.58,-60.94,46.99,1.0,77.0,1.99,1600225420.0
along,in,28.17,94.77,73.78,100.0,90.0,1.03,1600225420.0
puerto ayora,ec,-0.74,-90.35,66.0,65.0,93.0,5.99,1600225421.0
bowen,au,-20.02,148.23,77.0,90.0,69.0,18.34,1600225421.0
slave lake,ca,55.28,-114.77,50.0,1.0,46.0,5.82,1600225421.0
sergeyevka,kz,53.88,67.42,49.28,100.0,88.0,16.84,1600225421.0
naryan-mar,ru,67.67,53.09,45.01,94.0,84.0,12.03,1600225421.0
altamira,br,-3.2,-52.21,80.2,60.0,47.0,2.17,1600225195.0
hobart,au,-42.88,147.33,64.4,90.0,36.0,21.92,1600225157.0
chitrakonda,in,18.12,82.08,81.36,48.0,79.0,0.96,1600225442.0
tuktoyaktuk,ca,69.45,-133.04,35.6,40.0,86.0,11.41,1600225442.0
kavieng,pg,-2.57,150.8,84.69,74.0,75.0,15.68,1600225442.0
souillac,mu,-20.52,57.52,68.0,75.0,60.0,9.17,1600225442.0
vao,nc,-22.67,167.48,67.93,29.0,74.0,21.14,1600225443.0
tasiilaq,gl,65.61,-37.64,33.8,100.0,93.0,38.03,1600225443.0
